waypoint_id,row,col,cost,roughness,slope,shadow_risk,hazard_clearance,hard_hazard
199,11.000,271.000,2.979527,0.017824,0.011303,0.460465,45.799,0
200,8.500,273.500,2.871374,0.013543,0.009067,0.444716,46.556,0
201,6.000,276.000,2.906408,0.040150,0.009187,0.414599,48.728,0
202,6.000,281.000,2.799032,0.025628,0.002838,0.389443,46.657,0
203,6.000,286.000,2.850916,0.025378,0.002312,0.378635,44.828,0
204,6.000,291.000,2.980109,0.030468,0.005668,0.392018,43.828,0
205,6.000,296.000,3.102387,0.038208,0.017889,0.376442,43.000,0
206,6.000,301.000,2.982175,0.028844,0.025191,0.353753,43.828,0
207,6.000,306.000,2.940901,0.030192,0.025923,0.350560,44.828,0
208,6.000,311.000,2.777742,0.017946,0.028990,0.344774,46.657,0
209,6.000,316.000,2.887016,0.052054,0.029455,0.321849,48.728,0
210,6.000,321.000,2.800791,0.025200,0.023398,0.414829,50.799,0
211,6.000,326.000,2.807269,0.031486,0.016774,0.442211,52.870,0
212,6.000,331.000,2.759120,0.041409,0.015024,0.418918,54.941,0
213,6.000,336.000,2.597962,0.018292,0.013264,0.446562,57.012,0
214,8.500,338.500,2.900722,0.032565,0.018506,0.483341,53.325,0
215,11.000,341.000,2.859638,0.012592,0.021176,0.482173,50.497,0
216,11.000,346.000,3.059794,0.023150,0.014625,0.481376,46.254,0
217,11.000,351.000,3.225774,0.013192,0.007307,0.512642,42.012,0
218,11.000,356.000,3.380624,0.015959,0.004234,0.464128,37.769,0
219,11.000,361.000,3.832254,0.035213,0.007188,0.469290,33.941,0
220,11.000,366.000,4.388322,0.025884,0.015845,0.521339,29.142,0
221,11.000,371.000,5.087338,0.035693,0.022774,0.503800,24.142,0
222,11.000,376.000,5.908618,0.035335,0.025642,0.491099,19.142,0
223,11.000,381.000,7.062664,0.033551,0.024067,0.522417,14.142,0
224,11.000,386.000,7.644854,0.039934,0.021274,0.520449,12.071,0
225,11.000,391.000,8.082071,0.014560,0.017674,0.524656,10.000,0
226,11.000,396.000,8.247538,0.030625,0.013332,0.558622,10.000,0
227,11.000,401.000,8.667699,0.014512,0.012120,0.574651,8.485,0
228,11.000,406.000,9.613806,0.030214,0.013761,0.574599,6.243,0
229,8.500,408.500,9.568195,0.038462,0.017021,0.593312,6.657,0
230,6.000,411.000,10.383857,0.067469,0.016987,0.569086,5.000,0
231,6.000,416.000,10.310165,0.048600,0.017603,0.594227,5.000,0
232,6.000,421.000,10.312554,0.049846,0.021058,0.583496,5.000,0
233,6.000,426.000,10.820905,0.058080,0.034224,0.526887,3.828,0
234,6.000,431.000,11.221403,0.060304,0.041660,0.475035,2.828,0
235,6.000,436.000,11.508130,0.057144,0.033721,0.450513,2.000,0
236,6.000,441.000,11.764685,0.043682,0.017229,0.415077,1.000,0
237,6.000,446.000,11.699100,0.055845,0.008077,0.367365,1.000,0
238,6.000,451.000,11.755968,0.042118,0.014717,0.421803,1.000,0
239,6.000,456.000,11.088717,0.024146,0.016013,0.405105,2.000,0
240,6.000,461.000,10.914937,0.041786,0.017185,0.450276,2.828,0
241,6.000,466.000,10.305491,0.029360,0.017875,0.421146,3.828,0
242,6.000,471.000,9.784552,0.028063,0.018661,0.418254,5.000,0
243,6.000,476.000,9.166788,0.032001,0.022047,0.449786,6.828,0
244,6.000,481.000,8.516445,0.042488,0.024746,0.441768,8.828,0
245,6.000,486.000,7.880562,0.038043,0.023296,0.472675,10.899,0
246,6.000,491.000,7.607205,0.044895,0.017933,0.495142,12.071,0
247,8.500,493.500,7.976911,0.034727,0.017206,0.540861,10.899,0
248,11.000,496.000,7.799760,0.017975,0.016906,0.570761,11.314,0
249,11.000,501.000,8.135367,0.020179,0.013047,0.541521,10.000,0
250,13.500,503.500,7.213894,0.010270,0.014605,0.589157,13.314,0
251,16.000,506.000,7.468014,0.028649,0.014038,0.575709,12.728,0
252,16.000,511.000,6.811108,0.021744,0.010839,0.572147,15.000,0
253,16.000,516.000,6.765452,0.012131,0.007465,0.589650,15.000,0
254,16.000,521.000,6.713019,0.005314,0.010243,0.581194,15.000,0
255,16.000,526.000,6.709571,0.003495,0.010696,0.584382,15.000,0
256,16.000,531.000,6.842595,0.035658,0.009294,0.545698,15.000,0
257,16.000,536.000,6.823228,0.032330,0.007636,0.551253,15.000,0
258,16.000,541.000,6.520061,0.022507,0.008066,0.532583,15.828,0
259,16.000,546.000,6.111637,0.005123,0.013387,0.595197,17.899,0
260,16.000,551.000,5.694381,0.004240,0.019264,0.577743,19.970,0
261,16.000,556.000,5.245073,0.016501,0.022133,0.575057,23.213,0
262,16.000,561.000,4.707589,0.034758,0.023358,0.573456,28.213,0
263,16.000,566.000,4.223623,0.035145,0.025648,0.576990,33.213,0
264,13.500,568.500,3.961628,0.042730,0.027383,0.511447,35.385,0
265,11.000,571.000,3.588928,0.009979,0.022120,0.484434,36.142,0
266,8.500,573.500,3.390609,0.012194,0.013261,0.465420,37.941,0
267,6.000,576.000,3.532902,0.064041,0.006907,0.413181,39.071,0
268,6.000,581.000,3.296500,0.033837,0.002598,0.381091,38.041,0
269,6.000,586.000,3.499639,0.034952,0.006444,0.394169,35.970,0
270,6.000,591.000,3.836694,0.048321,0.015502,0.409119,33.899,0
271,6.000,596.000,3.864497,0.038512,0.017722,0.363628,31.828,0
272,6.000,601.000,3.861481,0.022454,0.015074,0.336444,30.000,0
273,6.000,606.000,3.922163,0.038602,0.008092,0.328515,30.000,0
274,6.000,611.000,3.755976,0.040654,0.008622,0.328168,31.828,0
275,6.000,616.000,3.659314,0.038280,0.010878,0.335528,33.000,0
276,6.000,621.000,3.522912,0.034380,0.006483,0.350840,34.414,0
277,6.000,626.000,3.489387,0.049590,0.002960,0.368224,36.485,0
278,6.000,631.000,3.524180,0.069837,0.009504,0.369826,38.556,0
279,6.000,636.000,3.216494,0.057411,0.010951,0.324223,40.627,0
280,6.000,641.000,3.058907,0.044847,0.010848,0.344505,42.698,0
281,6.000,646.000,2.717049,0.020345,0.011506,0.311662,44.769,0
282,6.000,651.000,2.905012,0.055565,0.016057,0.315769,46.840,0
283,6.000,656.000,2.694156,0.035868,0.021582,0.309500,49.083,0
284,6.000,661.000,2.462390,0.028825,0.026421,0.258808,51.911,0
285,6.000,666.000,2.584001,0.051379,0.025929,0.292135,55.740,0
286,6.000,671.000,2.238114,0.026599,0.019117,0.272381,59.982,0
287,6.000,676.000,2.106397,0.029530,0.009230,0.265022,64.982,0
288,6.000,681.000,2.030298,0.029347,0.006332,0.267420,69.982,0
289,6.000,686.000,2.419393,0.077433,0.007409,0.311421,74.982,0
290,6.000,691.000,2.200012,0.058323,0.005686,0.293530,79.982,0
291,6.000,696.000,2.129319,0.045777,0.004837,0.316207,84.982,0
292,6.000,701.000,1.900890,0.015903,0.010443,0.290361,83.154,0
293,6.000,706.000,2.175164,0.045942,0.016470,0.300293,81.083,0
294,6.000,711.000,2.330080,0.064699,0.019669,0.297628,79.012,0
295,6.000,716.000,2.143894,0.034908,0.021673,0.296355,76.941,0
296,6.000,721.000,2.139809,0.031077,0.024594,0.292335,74.870,0
297,6.000,726.000,2.251634,0.034308,0.024007,0.325564,72.799,0
298,6.000,731.000,2.507874,0.050249,0.019599,0.391622,70.728,0
299,6.000,736.000,2.240130,0.014976,0.015149,0.381369,68.657,0
300,6.000,741.000,2.512622,0.057651,0.011318,0.359853,65.639,0
301,6.000,746.000,2.364669,0.023085,0.008967,0.379836,61.811,0
302,6.000,751.000,2.482041,0.029554,0.009623,0.372137,57.568,0
303,6.000,756.000,2.911557,0.065296,0.009364,0.410245,53.740,0
304,6.000,761.000,2.770704,0.031096,0.003985,0.421943,50.497,0
